,plsaContext
299,LeftTroll|On or After June 9|positive
300,LeftTroll|On or After June 9|neutral
301,LeftTroll|On or After June 9|neutral
302,LeftTroll|On or After June 9|neutral
303,LeftTroll|On or After June 9|positive
304,LeftTroll|On or After June 9|positive
305,LeftTroll|On or After June 9|positive
306,LeftTroll|On or After June 9|neutral
307,LeftTroll|On or After June 9|negative
308,LeftTroll|On or After June 9|neutral
309,LeftTroll|On or After June 9|neutral
310,LeftTroll|On or After June 9|positive
311,LeftTroll|On or After June 9|negative
312,LeftTroll|On or After June 9|neutral
313,LeftTroll|On or After June 9|neutral
314,LeftTroll|On or After June 9|neutral
315,LeftTroll|On or After June 9|neutral
316,LeftTroll|On or After June 9|neutral
317,LeftTroll|On or After June 9|negative
318,LeftTroll|On or After June 9|negative
319,LeftTroll|On or After June 9|positive
320,LeftTroll|On or After June 9|positive
321,LeftTroll|On or After June 9|neutral
322,LeftTroll|On or After June 9|neutral
323,LeftTroll|On or After June 9|neutral
324,LeftTroll|On or After June 9|neutral
325,LeftTroll|On or After June 9|positive
326,LeftTroll|On or After June 9|negative
327,LeftTroll|On or After June 9|neutral
328,LeftTroll|On or After June 9|neutral
329,LeftTroll|On or After June 9|positive
330,LeftTroll|On or After June 9|negative
331,LeftTroll|On or After June 9|neutral
332,LeftTroll|On or After June 9|negative
333,LeftTroll|On or After June 9|neutral
334,LeftTroll|On or After June 9|neutral
335,LeftTroll|On or After June 9|neutral
336,LeftTroll|On or After June 9|neutral
337,LeftTroll|On or After June 9|negative
338,LeftTroll|On or After June 9|positive
339,LeftTroll|On or After June 9|neutral
340,LeftTroll|On or After June 9|positive
341,LeftTroll|On or After June 9|neutral
342,LeftTroll|On or After June 9|positive
343,LeftTroll|On or After June 9|negative
344,LeftTroll|On or After June 9|neutral
345,LeftTroll|On or After June 9|positive
346,LeftTroll|On or After June 9|positive
347,LeftTroll|On or After June 9|negative
348,LeftTroll|On or After June 9|negative
349,LeftTroll|On or After June 9|neutral
350,LeftTroll|On or After June 9|neutral
351,LeftTroll|On or After June 9|neutral
352,LeftTroll|On or After June 9|negative
353,LeftTroll|On or After June 9|neutral
354,LeftTroll|On or After June 9|negative
355,LeftTroll|On or After June 9|neutral
356,LeftTroll|On or After June 9|neutral
357,LeftTroll|On or After June 9|neutral
358,LeftTroll|On or After June 9|negative
359,LeftTroll|On or After June 9|neutral
360,LeftTroll|On or After June 9|neutral
361,LeftTroll|On or After June 9|positive
362,LeftTroll|On or After June 9|negative
363,LeftTroll|Before June 9|neutral
364,LeftTroll|Before June 9|neutral
365,LeftTroll|Before June 9|positive
366,LeftTroll|Before June 9|neutral
367,LeftTroll|Before June 9|positive
368,LeftTroll|Before June 9|neutral
369,LeftTroll|Before June 9|neutral
370,LeftTroll|Before June 9|neutral
371,LeftTroll|Before June 9|positive
372,LeftTroll|Before June 9|positive
373,LeftTroll|Before June 9|neutral
374,LeftTroll|Before June 9|positive
375,LeftTroll|Before June 9|positive
376,LeftTroll|Before June 9|positive
377,LeftTroll|Before June 9|neutral
378,LeftTroll|Before June 9|positive
379,LeftTroll|Before June 9|positive
380,LeftTroll|Before June 9|neutral
381,LeftTroll|Before June 9|neutral
382,LeftTroll|Before June 9|positive
383,LeftTroll|Before June 9|positive
384,LeftTroll|Before June 9|negative
385,LeftTroll|Before June 9|negative
386,LeftTroll|Before June 9|neutral
387,LeftTroll|Before June 9|neutral
388,LeftTroll|Before June 9|neutral
389,LeftTroll|On or After June 9|positive
390,LeftTroll|On or After June 9|neutral
391,LeftTroll|On or After June 9|neutral
392,LeftTroll|On or After June 9|positive
393,LeftTroll|On or After June 9|negative
394,LeftTroll|On or After June 9|positive
395,LeftTroll|On or After June 9|neutral
396,LeftTroll|On or After June 9|neutral
397,LeftTroll|On or After June 9|positive
398,LeftTroll|On or After June 9|negative
399,LeftTroll|On or After June 9|positive
400,LeftTroll|On or After June 9|neutral
401,LeftTroll|On or After June 9|negative
402,LeftTroll|On or After June 9|negative
403,LeftTroll|On or After June 9|neutral
404,LeftTroll|On or After June 9|positive
405,LeftTroll|On or After June 9|negative
406,LeftTroll|On or After June 9|neutral
407,LeftTroll|On or After June 9|neutral
408,LeftTroll|On or After June 9|neutral
409,LeftTroll|On or After June 9|neutral
410,LeftTroll|On or After June 9|negative
411,LeftTroll|On or After June 9|neutral
412,LeftTroll|On or After June 9|negative
413,LeftTroll|On or After June 9|negative
414,LeftTroll|On or After June 9|neutral
415,LeftTroll|On or After June 9|positive
416,LeftTroll|On or After June 9|neutral
417,LeftTroll|On or After June 9|positive
418,LeftTroll|On or After June 9|neutral
419,LeftTroll|On or After June 9|negative
420,LeftTroll|On or After June 9|neutral
421,LeftTroll|On or After June 9|positive
422,LeftTroll|On or After June 9|positive
423,LeftTroll|On or After June 9|neutral
424,LeftTroll|On or After June 9|negative
425,LeftTroll|On or After June 9|neutral
426,LeftTroll|On or After June 9|positive
427,LeftTroll|On or After June 9|positive
428,LeftTroll|On or After June 9|negative
429,LeftTroll|On or After June 9|neutral
430,LeftTroll|On or After June 9|positive
431,LeftTroll|On or After June 9|positive
432,LeftTroll|On or After June 9|negative
433,LeftTroll|On or After June 9|neutral
434,LeftTroll|On or After June 9|neutral
435,LeftTroll|On or After June 9|neutral
436,LeftTroll|On or After June 9|neutral
437,LeftTroll|On or After June 9|positive
438,LeftTroll|On or After June 9|positive
439,LeftTroll|On or After June 9|positive
440,LeftTroll|On or After June 9|neutral
441,LeftTroll|On or After June 9|neutral
442,LeftTroll|On or After June 9|positive
443,LeftTroll|On or After June 9|neutral
444,LeftTroll|On or After June 9|positive
445,LeftTroll|On or After June 9|positive
446,LeftTroll|On or After June 9|positive
447,LeftTroll|On or After June 9|positive
448,LeftTroll|On or After June 9|negative
449,LeftTroll|On or After June 9|positive
450,LeftTroll|On or After June 9|neutral
451,LeftTroll|On or After June 9|negative
452,LeftTroll|On or After June 9|neutral
453,LeftTroll|On or After June 9|neutral
454,LeftTroll|On or After June 9|positive
455,LeftTroll|On or After June 9|neutral
456,LeftTroll|On or After June 9|neutral
457,LeftTroll|On or After June 9|neutral
458,LeftTroll|On or After June 9|neutral
459,LeftTroll|On or After June 9|neutral
460,LeftTroll|On or After June 9|neutral
461,LeftTroll|On or After June 9|neutral
462,LeftTroll|On or After June 9|neutral
463,LeftTroll|On or After June 9|positive
464,LeftTroll|On or After June 9|neutral
465,LeftTroll|On or After June 9|neutral
466,LeftTroll|On or After June 9|positive
467,LeftTroll|On or After June 9|positive
468,LeftTroll|On or After June 9|positive
469,LeftTroll|On or After June 9|neutral
470,LeftTroll|On or After June 9|negative
471,LeftTroll|On or After June 9|neutral
472,LeftTroll|On or After June 9|negative
473,LeftTroll|On or After June 9|neutral
474,LeftTroll|On or After June 9|neutral
475,LeftTroll|On or After June 9|negative
476,LeftTroll|On or After June 9|negative
477,LeftTroll|On or After June 9|positive
