,plsaContext
1770,LeftTroll|On or After June 9|positive
1771,LeftTroll|On or After June 9|positive
1772,LeftTroll|On or After June 9|neutral
1773,LeftTroll|On or After June 9|neutral
1774,LeftTroll|On or After June 9|positive
1775,LeftTroll|On or After June 9|neutral
1776,LeftTroll|On or After June 9|positive
1777,LeftTroll|Before June 9|neutral
1778,LeftTroll|Before June 9|positive
1779,LeftTroll|Before June 9|positive
1780,LeftTroll|Before June 9|negative
1781,LeftTroll|Before June 9|neutral
1782,LeftTroll|Before June 9|neutral
1783,LeftTroll|Before June 9|negative
1784,LeftTroll|Before June 9|neutral
1785,LeftTroll|Before June 9|neutral
1786,LeftTroll|Before June 9|positive
1787,LeftTroll|Before June 9|neutral
1788,LeftTroll|Before June 9|neutral
1789,LeftTroll|Before June 9|positive
1790,LeftTroll|Before June 9|neutral
1791,LeftTroll|Before June 9|neutral
1792,LeftTroll|Before June 9|positive
1793,LeftTroll|Before June 9|negative
1794,LeftTroll|Before June 9|positive
1795,LeftTroll|Before June 9|negative
1796,LeftTroll|Before June 9|neutral
1797,LeftTroll|Before June 9|neutral
1798,LeftTroll|Before June 9|neutral
1799,LeftTroll|Before June 9|neutral
1800,LeftTroll|Before June 9|positive
1801,LeftTroll|Before June 9|negative
1802,LeftTroll|Before June 9|neutral
1803,LeftTroll|Before June 9|neutral
1804,LeftTroll|Before June 9|neutral
1805,LeftTroll|Before June 9|positive
1806,LeftTroll|Before June 9|neutral
1807,LeftTroll|Before June 9|neutral
1808,LeftTroll|Before June 9|negative
1809,LeftTroll|Before June 9|neutral
1810,LeftTroll|Before June 9|neutral
1811,LeftTroll|Before June 9|neutral
1812,LeftTroll|Before June 9|positive
1813,LeftTroll|Before June 9|neutral
1814,LeftTroll|Before June 9|neutral
1815,LeftTroll|Before June 9|neutral
1816,LeftTroll|Before June 9|neutral
1817,LeftTroll|Before June 9|neutral
1818,LeftTroll|On or After June 9|neutral
1819,LeftTroll|On or After June 9|neutral
1820,LeftTroll|On or After June 9|positive
1821,LeftTroll|On or After June 9|positive
1822,LeftTroll|On or After June 9|positive
1823,LeftTroll|On or After June 9|negative
1824,LeftTroll|On or After June 9|positive
1825,LeftTroll|On or After June 9|positive
1826,LeftTroll|On or After June 9|negative
1827,LeftTroll|On or After June 9|neutral
1828,LeftTroll|On or After June 9|negative
1829,LeftTroll|On or After June 9|positive
1830,LeftTroll|On or After June 9|negative
1831,LeftTroll|On or After June 9|neutral
1832,LeftTroll|On or After June 9|negative
1833,LeftTroll|On or After June 9|positive
1834,LeftTroll|On or After June 9|neutral
1835,LeftTroll|On or After June 9|negative
1836,LeftTroll|On or After June 9|neutral
1837,LeftTroll|On or After June 9|positive
1838,LeftTroll|On or After June 9|positive
1839,LeftTroll|On or After June 9|positive
1840,LeftTroll|On or After June 9|negative
1841,LeftTroll|On or After June 9|positive
1842,LeftTroll|On or After June 9|negative
1843,LeftTroll|On or After June 9|neutral
1844,LeftTroll|On or After June 9|positive
1845,LeftTroll|On or After June 9|positive
1846,LeftTroll|On or After June 9|neutral
1847,LeftTroll|On or After June 9|positive
1848,LeftTroll|On or After June 9|neutral
1849,LeftTroll|On or After June 9|negative
1850,LeftTroll|On or After June 9|negative
1851,LeftTroll|On or After June 9|negative
1852,LeftTroll|On or After June 9|positive
1853,LeftTroll|On or After June 9|neutral
1854,LeftTroll|On or After June 9|neutral
1855,LeftTroll|On or After June 9|neutral
1856,LeftTroll|On or After June 9|neutral
1857,LeftTroll|On or After June 9|positive
1858,LeftTroll|On or After June 9|neutral
1859,LeftTroll|On or After June 9|neutral
1860,LeftTroll|On or After June 9|neutral
1861,LeftTroll|On or After June 9|negative
1862,LeftTroll|On or After June 9|negative
1863,LeftTroll|On or After June 9|neutral
1864,LeftTroll|On or After June 9|positive
1865,LeftTroll|On or After June 9|neutral
1866,LeftTroll|On or After June 9|positive
1867,LeftTroll|On or After June 9|neutral
1868,LeftTroll|On or After June 9|neutral
1869,LeftTroll|On or After June 9|neutral
1870,LeftTroll|On or After June 9|neutral
1871,RightTroll|Before June 9|neutral
1872,RightTroll|Before June 9|neutral
1873,RightTroll|Before June 9|positive
1874,RightTroll|Before June 9|negative
1875,RightTroll|Before June 9|neutral
1876,RightTroll|Before June 9|positive
1877,RightTroll|Before June 9|positive
1878,RightTroll|Before June 9|neutral
1879,RightTroll|Before June 9|neutral
1880,RightTroll|Before June 9|positive
1881,RightTroll|Before June 9|neutral
1882,RightTroll|Before June 9|positive
1883,RightTroll|Before June 9|neutral
1884,RightTroll|Before June 9|neutral
1885,RightTroll|Before June 9|neutral
1886,RightTroll|Before June 9|positive
1887,RightTroll|Before June 9|neutral
1888,RightTroll|Before June 9|positive
1889,RightTroll|Before June 9|neutral
1890,RightTroll|Before June 9|neutral
1891,RightTroll|Before June 9|neutral
1892,RightTroll|Before June 9|neutral
1893,RightTroll|Before June 9|positive
1894,RightTroll|Before June 9|neutral
1895,RightTroll|Before June 9|neutral
1896,RightTroll|Before June 9|neutral
1897,RightTroll|Before June 9|neutral
1898,RightTroll|Before June 9|negative
1899,RightTroll|Before June 9|neutral
1900,RightTroll|Before June 9|negative
1901,RightTroll|Before June 9|positive
1902,RightTroll|Before June 9|neutral
1903,RightTroll|Before June 9|positive
1904,RightTroll|Before June 9|positive
1905,RightTroll|Before June 9|neutral
1906,RightTroll|Before June 9|neutral
1907,RightTroll|Before June 9|neutral
1908,RightTroll|Before June 9|negative
1909,RightTroll|Before June 9|positive
1910,RightTroll|Before June 9|neutral
1911,RightTroll|Before June 9|positive
1912,RightTroll|Before June 9|neutral
1913,RightTroll|Before June 9|positive
1914,RightTroll|Before June 9|neutral
1915,RightTroll|Before June 9|positive
1916,RightTroll|Before June 9|positive
1917,RightTroll|Before June 9|neutral
1918,RightTroll|Before June 9|negative
1919,RightTroll|Before June 9|positive
1920,RightTroll|Before June 9|positive
1921,RightTroll|Before June 9|neutral
1922,RightTroll|Before June 9|negative
1923,RightTroll|Before June 9|neutral
1924,RightTroll|Before June 9|negative
1925,RightTroll|Before June 9|positive
1926,RightTroll|Before June 9|neutral
1927,RightTroll|Before June 9|positive
1928,RightTroll|Before June 9|positive
1929,RightTroll|Before June 9|positive
1930,RightTroll|Before June 9|positive
1931,RightTroll|Before June 9|neutral
1932,RightTroll|Before June 9|positive
1933,RightTroll|Before June 9|positive
1934,RightTroll|Before June 9|positive
1935,RightTroll|Before June 9|positive
1936,RightTroll|Before June 9|neutral
1937,RightTroll|Before June 9|neutral
1938,LeftTroll|Before June 9|neutral
1939,LeftTroll|Before June 9|positive
1940,LeftTroll|Before June 9|neutral
1941,LeftTroll|Before June 9|negative
1942,LeftTroll|Before June 9|negative
1943,LeftTroll|Before June 9|positive
1944,LeftTroll|Before June 9|positive
1945,LeftTroll|Before June 9|neutral
1946,LeftTroll|Before June 9|positive
1947,LeftTroll|Before June 9|negative
1948,LeftTroll|Before June 9|neutral
1949,LeftTroll|Before June 9|neutral
1950,LeftTroll|Before June 9|positive
1951,LeftTroll|Before June 9|neutral
1952,LeftTroll|Before June 9|positive
1953,LeftTroll|Before June 9|negative
1954,LeftTroll|Before June 9|neutral
1955,LeftTroll|Before June 9|positive
1956,LeftTroll|Before June 9|neutral
1957,LeftTroll|Before June 9|neutral
1958,LeftTroll|Before June 9|positive
1959,LeftTroll|Before June 9|neutral
1960,LeftTroll|Before June 9|neutral
1961,LeftTroll|Before June 9|neutral
1962,LeftTroll|Before June 9|positive
1963,LeftTroll|Before June 9|negative
1964,LeftTroll|Before June 9|positive
1965,LeftTroll|Before June 9|neutral
1966,LeftTroll|Before June 9|neutral
1967,LeftTroll|Before June 9|neutral
1968,LeftTroll|Before June 9|neutral
1969,LeftTroll|Before June 9|neutral
1970,LeftTroll|Before June 9|positive
1971,LeftTroll|Before June 9|negative
1972,LeftTroll|Before June 9|positive
1973,LeftTroll|Before June 9|positive
1974,LeftTroll|Before June 9|positive
1975,LeftTroll|Before June 9|neutral
1976,LeftTroll|Before June 9|positive
1977,LeftTroll|Before June 9|negative
1978,LeftTroll|Before June 9|negative
1979,LeftTroll|Before June 9|positive
1980,LeftTroll|Before June 9|neutral
1981,LeftTroll|Before June 9|positive
1982,LeftTroll|Before June 9|neutral
1983,LeftTroll|Before June 9|negative
1984,LeftTroll|Before June 9|positive
1985,LeftTroll|Before June 9|positive
1986,LeftTroll|Before June 9|positive
1987,LeftTroll|Before June 9|neutral
1988,LeftTroll|Before June 9|neutral
1989,LeftTroll|Before June 9|neutral
1990,LeftTroll|Before June 9|neutral
1991,LeftTroll|Before June 9|neutral
1992,LeftTroll|Before June 9|negative
1993,LeftTroll|Before June 9|neutral
1994,LeftTroll|Before June 9|neutral
1995,LeftTroll|Before June 9|neutral
1996,LeftTroll|Before June 9|neutral
1997,LeftTroll|Before June 9|neutral
1998,LeftTroll|Before June 9|neutral
1999,LeftTroll|Before June 9|neutral
2000,LeftTroll|Before June 9|negative
2001,LeftTroll|Before June 9|positive
2002,LeftTroll|Before June 9|neutral
2003,LeftTroll|Before June 9|negative
2004,LeftTroll|Before June 9|positive
2005,LeftTroll|Before June 9|neutral
2006,LeftTroll|Before June 9|positive
2007,LeftTroll|Before June 9|neutral
2008,LeftTroll|Before June 9|neutral
2009,LeftTroll|Before June 9|negative
2010,LeftTroll|Before June 9|negative
2011,LeftTroll|Before June 9|neutral
2012,LeftTroll|Before June 9|neutral
2013,LeftTroll|Before June 9|neutral
2014,LeftTroll|Before June 9|negative
2015,LeftTroll|Before June 9|neutral
2016,LeftTroll|Before June 9|positive
2017,LeftTroll|Before June 9|neutral
2018,LeftTroll|Before June 9|negative
2019,LeftTroll|Before June 9|positive
2020,LeftTroll|Before June 9|negative
2021,LeftTroll|Before June 9|positive
2022,LeftTroll|Before June 9|negative
2023,LeftTroll|Before June 9|neutral
2024,LeftTroll|Before June 9|positive
2025,LeftTroll|Before June 9|negative
2026,LeftTroll|Before June 9|negative
2027,LeftTroll|Before June 9|positive
2028,LeftTroll|Before June 9|neutral
2029,LeftTroll|Before June 9|negative
2030,LeftTroll|Before June 9|positive
2031,LeftTroll|Before June 9|negative
2032,LeftTroll|Before June 9|neutral
2033,LeftTroll|Before June 9|neutral
2034,LeftTroll|Before June 9|neutral
2035,LeftTroll|Before June 9|negative
2036,LeftTroll|Before June 9|neutral
2037,LeftTroll|Before June 9|neutral
2038,LeftTroll|Before June 9|neutral
2039,LeftTroll|Before June 9|positive
2040,LeftTroll|Before June 9|positive
2041,LeftTroll|Before June 9|neutral
2042,LeftTroll|On or After June 9|negative
2043,LeftTroll|On or After June 9|neutral
2044,LeftTroll|On or After June 9|negative
2045,LeftTroll|On or After June 9|neutral
2046,LeftTroll|On or After June 9|neutral
2047,LeftTroll|On or After June 9|neutral
2048,LeftTroll|On or After June 9|positive
2049,LeftTroll|On or After June 9|positive
2050,LeftTroll|On or After June 9|positive
2051,LeftTroll|On or After June 9|positive
2052,LeftTroll|On or After June 9|neutral
2053,LeftTroll|On or After June 9|positive
2054,LeftTroll|On or After June 9|negative
2055,LeftTroll|On or After June 9|neutral
2056,LeftTroll|On or After June 9|neutral
2057,LeftTroll|On or After June 9|neutral
2058,LeftTroll|On or After June 9|neutral
2059,LeftTroll|On or After June 9|neutral
2060,LeftTroll|On or After June 9|negative
2061,LeftTroll|On or After June 9|positive
2062,LeftTroll|On or After June 9|negative
2063,LeftTroll|On or After June 9|positive
2064,LeftTroll|On or After June 9|neutral
2065,LeftTroll|On or After June 9|positive
2066,LeftTroll|On or After June 9|neutral
2067,LeftTroll|On or After June 9|positive
2068,LeftTroll|On or After June 9|neutral
2069,LeftTroll|On or After June 9|positive
2070,LeftTroll|On or After June 9|positive
2071,LeftTroll|On or After June 9|neutral
2072,LeftTroll|On or After June 9|neutral
2073,LeftTroll|On or After June 9|neutral
2074,LeftTroll|On or After June 9|neutral
2075,LeftTroll|On or After June 9|neutral
2076,LeftTroll|On or After June 9|neutral
2077,LeftTroll|On or After June 9|neutral
2078,LeftTroll|On or After June 9|neutral
2079,LeftTroll|On or After June 9|neutral
2080,LeftTroll|On or After June 9|neutral
2081,LeftTroll|On or After June 9|neutral
2082,LeftTroll|On or After June 9|neutral
2083,LeftTroll|On or After June 9|positive
2084,LeftTroll|On or After June 9|neutral
2085,LeftTroll|On or After June 9|neutral
2086,LeftTroll|On or After June 9|negative
2087,LeftTroll|On or After June 9|neutral
2088,LeftTroll|On or After June 9|neutral
2089,LeftTroll|On or After June 9|positive
2090,LeftTroll|On or After June 9|neutral
2091,LeftTroll|On or After June 9|neutral
2092,LeftTroll|On or After June 9|neutral
2093,LeftTroll|On or After June 9|neutral
2094,LeftTroll|On or After June 9|negative
2095,LeftTroll|On or After June 9|neutral
2096,LeftTroll|On or After June 9|negative
2097,LeftTroll|On or After June 9|negative
2098,LeftTroll|On or After June 9|positive
2099,LeftTroll|On or After June 9|neutral
2100,LeftTroll|On or After June 9|positive
2101,LeftTroll|On or After June 9|neutral
2102,LeftTroll|On or After June 9|negative
2103,LeftTroll|On or After June 9|neutral
2104,LeftTroll|On or After June 9|neutral
2105,LeftTroll|On or After June 9|positive
2106,LeftTroll|On or After June 9|positive
2107,LeftTroll|On or After June 9|neutral
2108,LeftTroll|On or After June 9|neutral
2109,LeftTroll|On or After June 9|neutral
2110,LeftTroll|On or After June 9|neutral
2111,LeftTroll|On or After June 9|negative
2112,LeftTroll|On or After June 9|negative
2113,LeftTroll|On or After June 9|neutral
2114,LeftTroll|On or After June 9|positive
2115,LeftTroll|On or After June 9|neutral
2116,LeftTroll|On or After June 9|negative
2117,LeftTroll|On or After June 9|negative
2118,LeftTroll|On or After June 9|negative
2119,LeftTroll|On or After June 9|positive
2120,LeftTroll|On or After June 9|negative
2121,LeftTroll|On or After June 9|positive
2122,LeftTroll|On or After June 9|neutral
2123,LeftTroll|On or After June 9|neutral
2124,LeftTroll|On or After June 9|positive
2125,LeftTroll|On or After June 9|positive
2126,LeftTroll|On or After June 9|neutral
2127,LeftTroll|On or After June 9|positive
2128,LeftTroll|On or After June 9|neutral
2129,LeftTroll|On or After June 9|positive
2130,LeftTroll|On or After June 9|neutral
2131,LeftTroll|On or After June 9|neutral
2132,LeftTroll|On or After June 9|neutral
2133,LeftTroll|On or After June 9|neutral
2134,LeftTroll|On or After June 9|neutral
2135,LeftTroll|On or After June 9|neutral
2136,LeftTroll|On or After June 9|positive
2137,LeftTroll|On or After June 9|neutral
2138,LeftTroll|On or After June 9|neutral
2139,LeftTroll|On or After June 9|positive
2140,LeftTroll|On or After June 9|neutral
2141,LeftTroll|On or After June 9|neutral
2142,LeftTroll|On or After June 9|neutral
2143,LeftTroll|On or After June 9|neutral
2144,LeftTroll|On or After June 9|neutral
2145,LeftTroll|On or After June 9|neutral
2146,LeftTroll|On or After June 9|neutral
2147,LeftTroll|On or After June 9|neutral
2148,LeftTroll|On or After June 9|neutral
2149,LeftTroll|On or After June 9|negative
2150,LeftTroll|On or After June 9|positive
2151,LeftTroll|On or After June 9|positive
2152,LeftTroll|On or After June 9|negative
2153,LeftTroll|On or After June 9|positive
2154,LeftTroll|On or After June 9|positive
2155,LeftTroll|On or After June 9|neutral
2156,LeftTroll|On or After June 9|neutral
2157,LeftTroll|Before June 9|positive
2158,LeftTroll|Before June 9|positive
2159,LeftTroll|Before June 9|positive
2160,LeftTroll|Before June 9|neutral
2161,LeftTroll|Before June 9|neutral
2162,LeftTroll|Before June 9|positive
2163,LeftTroll|Before June 9|positive
2164,LeftTroll|Before June 9|neutral
2165,LeftTroll|Before June 9|positive
2166,LeftTroll|Before June 9|positive
2167,LeftTroll|Before June 9|neutral
2168,LeftTroll|Before June 9|neutral
2169,LeftTroll|Before June 9|neutral
2170,LeftTroll|Before June 9|positive
2171,LeftTroll|Before June 9|neutral
2172,LeftTroll|Before June 9|positive
2173,LeftTroll|Before June 9|neutral
2174,LeftTroll|Before June 9|positive
2175,LeftTroll|Before June 9|neutral
2176,LeftTroll|Before June 9|positive
2177,LeftTroll|Before June 9|positive
2178,LeftTroll|Before June 9|neutral
2179,LeftTroll|Before June 9|neutral
2180,LeftTroll|Before June 9|positive
2181,LeftTroll|Before June 9|neutral
2182,LeftTroll|Before June 9|neutral
2183,LeftTroll|Before June 9|neutral
2184,LeftTroll|Before June 9|positive
2185,LeftTroll|Before June 9|neutral
2186,LeftTroll|Before June 9|neutral
2187,LeftTroll|Before June 9|neutral
2188,LeftTroll|Before June 9|neutral
2189,LeftTroll|Before June 9|neutral
2190,LeftTroll|Before June 9|neutral
2191,LeftTroll|Before June 9|negative
2192,LeftTroll|Before June 9|neutral
2193,LeftTroll|Before June 9|positive
2194,LeftTroll|Before June 9|positive
2195,LeftTroll|Before June 9|positive
2196,LeftTroll|Before June 9|negative
2197,LeftTroll|On or After June 9|neutral
2198,LeftTroll|On or After June 9|neutral
2199,LeftTroll|On or After June 9|neutral
2200,LeftTroll|On or After June 9|neutral
2201,LeftTroll|On or After June 9|positive
2202,LeftTroll|On or After June 9|neutral
2203,LeftTroll|On or After June 9|positive
2204,LeftTroll|On or After June 9|neutral
2205,LeftTroll|On or After June 9|neutral
2206,LeftTroll|On or After June 9|neutral
2207,LeftTroll|On or After June 9|positive
2208,LeftTroll|On or After June 9|positive
2209,LeftTroll|On or After June 9|positive
2210,LeftTroll|On or After June 9|positive
2211,LeftTroll|On or After June 9|neutral
2212,LeftTroll|On or After June 9|neutral
2213,LeftTroll|On or After June 9|negative
2214,LeftTroll|On or After June 9|neutral
2215,LeftTroll|On or After June 9|negative
2216,LeftTroll|On or After June 9|negative
2217,LeftTroll|On or After June 9|neutral
2218,LeftTroll|On or After June 9|positive
2219,LeftTroll|On or After June 9|neutral
2220,LeftTroll|On or After June 9|neutral
2221,LeftTroll|On or After June 9|neutral
2222,LeftTroll|On or After June 9|negative
2223,LeftTroll|On or After June 9|neutral
2224,LeftTroll|On or After June 9|neutral
2225,LeftTroll|On or After June 9|positive
2226,LeftTroll|On or After June 9|neutral
2227,LeftTroll|On or After June 9|neutral
2228,LeftTroll|On or After June 9|positive
2229,LeftTroll|On or After June 9|positive
2230,LeftTroll|On or After June 9|neutral
2231,LeftTroll|On or After June 9|negative
2232,LeftTroll|On or After June 9|neutral
2233,LeftTroll|On or After June 9|neutral
2234,LeftTroll|On or After June 9|positive
2235,LeftTroll|On or After June 9|positive
2236,LeftTroll|On or After June 9|neutral
2237,LeftTroll|On or After June 9|negative
2238,LeftTroll|On or After June 9|positive
2239,LeftTroll|On or After June 9|neutral
2240,LeftTroll|On or After June 9|positive
2241,LeftTroll|On or After June 9|negative
2242,LeftTroll|On or After June 9|positive
2243,LeftTroll|On or After June 9|positive
2244,LeftTroll|On or After June 9|positive
2245,LeftTroll|On or After June 9|positive
2246,LeftTroll|On or After June 9|negative
2247,LeftTroll|On or After June 9|positive
2248,LeftTroll|On or After June 9|neutral
2249,LeftTroll|On or After June 9|neutral
2250,LeftTroll|On or After June 9|negative
2251,LeftTroll|On or After June 9|positive
2252,LeftTroll|On or After June 9|negative
2253,LeftTroll|On or After June 9|negative
2254,LeftTroll|On or After June 9|positive
2255,LeftTroll|On or After June 9|negative
2256,LeftTroll|On or After June 9|negative
2257,LeftTroll|On or After June 9|negative
2258,LeftTroll|On or After June 9|negative
2259,LeftTroll|On or After June 9|positive
2260,LeftTroll|On or After June 9|neutral
2261,RightTroll|Before June 9|positive
2262,RightTroll|Before June 9|neutral
2263,RightTroll|Before June 9|negative
2264,RightTroll|Before June 9|neutral
2265,RightTroll|Before June 9|neutral
2266,RightTroll|Before June 9|positive
2267,RightTroll|Before June 9|neutral
2268,RightTroll|Before June 9|positive
2269,RightTroll|Before June 9|positive
2270,RightTroll|Before June 9|neutral
2271,RightTroll|Before June 9|positive
2272,RightTroll|Before June 9|neutral
2273,RightTroll|Before June 9|neutral
2274,RightTroll|Before June 9|neutral
2275,RightTroll|Before June 9|positive
2276,RightTroll|Before June 9|negative
2277,RightTroll|Before June 9|neutral
2278,RightTroll|Before June 9|neutral
2279,RightTroll|Before June 9|neutral
2280,RightTroll|Before June 9|neutral
2281,RightTroll|Before June 9|neutral
2282,RightTroll|Before June 9|neutral
2283,RightTroll|Before June 9|neutral
2284,RightTroll|Before June 9|positive
2285,RightTroll|Before June 9|negative
2286,RightTroll|Before June 9|negative
2287,RightTroll|Before June 9|negative
2288,RightTroll|Before June 9|neutral
2289,RightTroll|Before June 9|negative
2290,RightTroll|Before June 9|neutral
2291,RightTroll|Before June 9|positive
2292,RightTroll|Before June 9|positive
2293,RightTroll|Before June 9|neutral
2294,RightTroll|Before June 9|neutral
2295,RightTroll|Before June 9|positive
2296,RightTroll|On or After June 9|neutral
2297,RightTroll|On or After June 9|neutral
2298,RightTroll|On or After June 9|neutral
2299,RightTroll|On or After June 9|negative
2300,RightTroll|On or After June 9|neutral
2301,RightTroll|On or After June 9|neutral
2302,RightTroll|On or After June 9|neutral
2303,RightTroll|On or After June 9|neutral
2304,RightTroll|On or After June 9|negative
2305,RightTroll|On or After June 9|neutral
2306,RightTroll|On or After June 9|neutral
2307,RightTroll|On or After June 9|neutral
2308,RightTroll|On or After June 9|neutral
2309,RightTroll|On or After June 9|neutral
2310,RightTroll|On or After June 9|negative
2311,RightTroll|On or After June 9|neutral
2312,RightTroll|On or After June 9|positive
2313,RightTroll|On or After June 9|positive
2314,LeftTroll|Before June 9|neutral
2315,LeftTroll|Before June 9|neutral
2316,LeftTroll|Before June 9|neutral
2317,LeftTroll|Before June 9|neutral
2318,LeftTroll|Before June 9|neutral
2319,LeftTroll|Before June 9|negative
2320,LeftTroll|Before June 9|neutral
2321,LeftTroll|Before June 9|positive
2322,LeftTroll|Before June 9|positive
2323,LeftTroll|Before June 9|positive
2324,LeftTroll|Before June 9|positive
2325,LeftTroll|Before June 9|neutral
2326,LeftTroll|Before June 9|neutral
2327,LeftTroll|Before June 9|neutral
2328,LeftTroll|Before June 9|neutral
2329,LeftTroll|Before June 9|positive
2330,LeftTroll|Before June 9|neutral
2331,LeftTroll|Before June 9|neutral
2332,LeftTroll|Before June 9|negative
2333,LeftTroll|Before June 9|positive
2334,LeftTroll|Before June 9|negative
2335,LeftTroll|Before June 9|neutral
2336,LeftTroll|Before June 9|positive
2337,LeftTroll|Before June 9|neutral
2338,LeftTroll|Before June 9|neutral
2339,LeftTroll|Before June 9|neutral
2340,LeftTroll|Before June 9|positive
2341,LeftTroll|Before June 9|neutral
2342,LeftTroll|Before June 9|positive
2343,LeftTroll|Before June 9|positive
2344,LeftTroll|Before June 9|positive
2345,LeftTroll|Before June 9|neutral
2346,LeftTroll|Before June 9|neutral
2347,LeftTroll|Before June 9|neutral
2348,LeftTroll|Before June 9|neutral
2349,LeftTroll|Before June 9|neutral
2350,LeftTroll|Before June 9|neutral
2351,LeftTroll|Before June 9|positive
2352,LeftTroll|Before June 9|positive
2353,LeftTroll|Before June 9|positive
2354,LeftTroll|Before June 9|neutral
2355,LeftTroll|Before June 9|neutral
2356,LeftTroll|Before June 9|neutral
2357,LeftTroll|Before June 9|neutral
2358,LeftTroll|Before June 9|positive
2359,LeftTroll|Before June 9|neutral
2360,LeftTroll|Before June 9|positive
2361,LeftTroll|Before June 9|positive
2362,LeftTroll|Before June 9|neutral
2363,LeftTroll|Before June 9|positive
2364,LeftTroll|Before June 9|neutral
2365,LeftTroll|Before June 9|neutral
2366,LeftTroll|Before June 9|neutral
2367,LeftTroll|Before June 9|positive
2368,LeftTroll|Before June 9|neutral
2369,LeftTroll|Before June 9|positive
2370,LeftTroll|Before June 9|neutral
2371,LeftTroll|Before June 9|neutral
2372,LeftTroll|Before June 9|neutral
2373,LeftTroll|Before June 9|neutral
2374,LeftTroll|Before June 9|positive
2375,LeftTroll|Before June 9|positive
2376,LeftTroll|Before June 9|positive
2377,LeftTroll|Before June 9|positive
2378,LeftTroll|Before June 9|negative
2379,LeftTroll|Before June 9|positive
2380,LeftTroll|Before June 9|positive
2381,LeftTroll|Before June 9|neutral
2382,LeftTroll|Before June 9|positive
2383,LeftTroll|Before June 9|positive
2384,LeftTroll|Before June 9|negative
2385,LeftTroll|Before June 9|negative
2386,LeftTroll|Before June 9|neutral
2387,LeftTroll|Before June 9|positive
2388,LeftTroll|Before June 9|negative
2389,LeftTroll|Before June 9|neutral
2390,LeftTroll|Before June 9|neutral
2391,LeftTroll|Before June 9|positive
2392,LeftTroll|Before June 9|neutral
2393,LeftTroll|Before June 9|negative
2394,LeftTroll|Before June 9|negative
2395,LeftTroll|Before June 9|neutral
2396,LeftTroll|Before June 9|positive
2397,LeftTroll|Before June 9|neutral
2398,LeftTroll|Before June 9|positive
2399,LeftTroll|Before June 9|positive
2400,LeftTroll|Before June 9|negative
2401,LeftTroll|Before June 9|neutral
2402,LeftTroll|Before June 9|positive
2403,LeftTroll|Before June 9|neutral
2404,LeftTroll|Before June 9|positive
2405,LeftTroll|Before June 9|positive
2406,LeftTroll|Before June 9|neutral
2407,LeftTroll|Before June 9|positive
2408,LeftTroll|Before June 9|negative
2409,LeftTroll|Before June 9|neutral
2410,LeftTroll|Before June 9|neutral
2411,LeftTroll|Before June 9|neutral
2412,LeftTroll|Before June 9|neutral
2413,LeftTroll|Before June 9|neutral
2414,LeftTroll|Before June 9|neutral
2415,LeftTroll|Before June 9|neutral
2416,LeftTroll|Before June 9|neutral
2417,LeftTroll|Before June 9|neutral
2418,LeftTroll|Before June 9|positive
2419,LeftTroll|Before June 9|positive
2420,LeftTroll|Before June 9|negative
2421,LeftTroll|Before June 9|negative
2422,LeftTroll|Before June 9|neutral
2423,LeftTroll|Before June 9|neutral
2424,LeftTroll|Before June 9|neutral
2425,LeftTroll|Before June 9|neutral
2426,LeftTroll|Before June 9|neutral
2427,LeftTroll|Before June 9|neutral
2428,LeftTroll|Before June 9|neutral
2429,LeftTroll|Before June 9|positive
2430,LeftTroll|Before June 9|neutral
2431,LeftTroll|Before June 9|neutral
2432,LeftTroll|Before June 9|neutral
2433,LeftTroll|Before June 9|neutral
2434,LeftTroll|Before June 9|positive
2435,LeftTroll|Before June 9|neutral
2436,LeftTroll|Before June 9|neutral
2437,LeftTroll|Before June 9|neutral
2438,LeftTroll|Before June 9|positive
2439,LeftTroll|Before June 9|neutral
2440,LeftTroll|Before June 9|positive
2441,LeftTroll|Before June 9|neutral
2442,LeftTroll|Before June 9|neutral
2443,LeftTroll|Before June 9|neutral
2444,LeftTroll|Before June 9|neutral
2445,LeftTroll|Before June 9|neutral
2446,LeftTroll|Before June 9|negative
2447,LeftTroll|Before June 9|positive
2448,LeftTroll|Before June 9|positive
2449,LeftTroll|Before June 9|neutral
2450,LeftTroll|Before June 9|positive
2451,LeftTroll|Before June 9|neutral
2452,LeftTroll|Before June 9|neutral
2453,LeftTroll|Before June 9|positive
2454,LeftTroll|Before June 9|positive
2455,LeftTroll|Before June 9|positive
2456,LeftTroll|Before June 9|neutral
2457,LeftTroll|Before June 9|positive
2458,LeftTroll|Before June 9|neutral
2459,LeftTroll|Before June 9|neutral
2460,LeftTroll|Before June 9|positive
2461,LeftTroll|Before June 9|neutral
2462,LeftTroll|Before June 9|neutral
2463,LeftTroll|Before June 9|neutral
2464,LeftTroll|Before June 9|neutral
2465,LeftTroll|Before June 9|neutral
2466,LeftTroll|Before June 9|neutral
2467,LeftTroll|Before June 9|neutral
2468,LeftTroll|Before June 9|neutral
2469,LeftTroll|Before June 9|neutral
2470,LeftTroll|Before June 9|positive
2471,LeftTroll|Before June 9|positive
2472,LeftTroll|Before June 9|positive
2473,LeftTroll|Before June 9|positive
2474,LeftTroll|Before June 9|neutral
2475,LeftTroll|Before June 9|neutral
2476,LeftTroll|Before June 9|positive
2477,LeftTroll|Before June 9|neutral
2478,LeftTroll|Before June 9|positive
